upm,nvivi,nhoga,trimestre,dpto,área,ingreso_ocup_pri,ingrem,ipcm,pobnopoi
14,3,1,5,0,1, 8984294 , 10195659 , 2039132 ,0
14,20,1,5,0,1, 7470087 , 8681452 , 4340726 ,0
14,23,1,5,0,1, 8580505 , 10094712 , 5047356 ,0
14,24,1,5,0,1, 11911760 , 13627861 , 1362786 ,0
14,25,1,5,0,1, 2523678 , 2523678 , 2523678 ,0
14,31,1,5,0,1, 4845462 , 5451144 , 1817048 ,0
14,37,1,5,0,1, 4037885 , 9489029 , 4744515 ,0
14,39,1,5,0,1, 5152341 , 5727740 , 954623 ,0
14,40,1,5,0,1, 5909516 , 6918987 , 1153165 ,0
14,49,1,5,0,1, 1211365 , 3028414 , 3028414 ,0
14,54,1,5,0,1, 3187717 , 5014559 , 2507280 ,0
14,59,1,5,0,1, 13033130 , 16061544 , 2007693 ,0
30,1,1,8,0,1, 4729738 , 6497217 , 1299443 ,0
30,16,1,8,0,1, 945948 , 3690181 , 3690181 ,0
30,23,1,8,0,1, 7193143 , 9410208 , 2352552 ,0
30,24,1,8,0,1, 2960761 , 4317783 , 1439261 ,0
30,31,1,8,0,1, 6897535 , 8868259 , 2956086 ,0
30,37,1,8,0,1, -   , 1773652 , 591217 ,1
44,7,1,7,0,1, 1500000 , 1500000 , 1500000 ,0
44,8,1,7,0,1, 2300000 , 2900000 , 1450000 ,0
44,16,1,7,0,1, 11740767 , 32037434 , 6407487 ,0
44,17,1,7,0,1, 6000000 , 6180024 , 1236005 ,0
44,28,1,7,0,1, 4500000 , 4500000 , 1500000 ,0
44,35,1,7,0,1, -   , 6500000 , 6500000 ,0
44,36,1,7,0,1, -   , 2400000 , 1200000 ,0
44,39,1,7,0,1, -   , 4000000 , 2000000 ,0
44,45,1,7,0,1, 880000 , 2180000 , 1090000 ,0
44,50,1,7,0,1, 3444375 , 5204407 , 743487 ,1
59,2,1,6,0,1, 2990647 , 4776728 , 1592243 ,0
59,6,1,6,0,1, 11204957 , 13903919 , 2317320 ,0
59,14,1,6,0,1, 2691582 , 12161964 , 6080982 ,0
59,15,1,6,0,1, 5482853 , 5482853 , 1370713 ,0
59,18,1,6,0,1, 2731458 , 4778779 , 1194695 ,0
59,31,1,6,0,1, 3190023 , 3190023 , 3190023 ,0
59,37,1,6,0,1, 2761364 , 4216812 , 1405604 ,0
59,42,1,6,0,1, 797506 , 2053773 , 513443 ,1
59,47,1,6,0,1, 3688465 , 6878488 , 1719622 ,0
59,49,1,6,0,1, 7576306 , 8373811 , 1674762 ,0
59,57,1,6,0,1, 12959470 , 14803702 , 2114815 ,0
74,4,1,8,0,1, -   , 3968968 , 1984484 ,0
74,16,1,8,0,1, 13008423 , 15670939 , 5223646 ,0
74,29,1,8,0,1, 2480605 , 2480605 , 2480605 ,0
74,35,1,8,0,1, 10914663 , 15181303 , 1897663 ,0
74,44,1,8,0,1, 1984484 , 30263382 , 30263382 ,0
74,45,1,8,0,1, 595345 , 6052676 , 6052676 ,0
74,65,1,8,0,1, 7937936 , 9922420 , 9922420 ,0
89,1,1,6,0,1, 2791270 , 3987529 , 1993765 ,0
89,5,1,6,0,1, -   , 6371739 , 3185870 ,0
89,10,1,6,0,1, 4984412 , 4984412 , 1246103 ,0
89,16,1,6,0,1, 4485970 , 4485970 , 4485970 ,0
89,24,1,6,0,1, 996882 , 15044615 , 7522308 ,0
89,40,1,6,0,1, 15551364 , 18591855 , 6197285 ,0
89,50,1,6,0,1, 2492206 , 4386282 , 2193141 ,0
102,3,1,5,0,1, 5003912 , 5003912 , 5003912 ,0
102,18,1,5,0,1, 10508216 , 14111033 , 2351839 ,0
102,19,1,5,0,1, 6004695 , 6905399 , 2301800 ,0
102,36,1,5,0,1, 10007825 , 11844561 , 3948187 ,0
116,5,1,8,0,1, 4434129 , 6912539 , 3456270 ,0
116,15,1,8,0,1, 2217065 , 23188855 , 5797214 ,0
116,39,1,8,0,1, 15470185 , 18220987 , 3036831 ,0
116,48,1,8,0,1, -   , 2428921 , 2428921 ,0
116,61,1,8,0,1, 8868259 , 14903602 , 3725900 ,0
131,10,1,8,0,1, 15416260 , 25514496 , 6378624 ,0
131,51,1,8,0,1, 9884080 , 11366692 , 2841673 ,0
131,58,1,8,0,1, 7907264 , 9686399 , 1937280 ,0
146,16,1,7,0,1, 21133905 , 26118316 , 8706105 ,0
146,17,1,7,0,1, 13956352 , 21881567 , 7293856 ,0
146,22,1,7,0,1, 7476617 , 12461029 , 4153676 ,0
146,23,1,7,0,1, -   , 16448558 , 8224279 ,0
146,41,1,7,0,1, 5682229 , 11663523 , 2332705 ,0
146,44,1,7,0,1, 7975058 , 9968823 , 4984412 ,0
146,48,1,7,0,1, -   , 3489088 , 3489088 ,0
146,56,1,7,0,1, 9968823 , 9968823 , 9968823 ,0
146,59,1,7,0,1, 7476617 , 11085331 , 2217066 ,0
161,9,1,6,0,1, 7954160 , 9426418 , 2356605 ,0
161,15,1,6,0,1, 12461029 , 15830881 , 1217760 ,0
161,24,1,6,0,1, 14454793 , 14454793 , 2409132 ,0
161,32,1,6,0,1, 12660405 , 19388868 , 4847217 ,0
161,37,1,6,0,1, 2312767 , 14773796 , 4924599 ,0
161,44,1,6,0,1, 2492206 , 3987529 , 1993765 ,0
161,47,1,6,0,1, 15039543 , 20023955 , 4004791 ,0
161,57,1,6,0,1, 5682229 , 6180670 , 2060223 ,0
177,3,1,7,0,1, -   , 1160851 , 1160851 ,0
177,13,1,7,0,1, -   , 11166667 , 11166667 ,0
177,24,1,7,0,1, 7000000 , 9620016 , 1924003 ,0
177,27,1,7,0,1, 12500000 , 13500000 , 4500000 ,0
177,28,1,7,0,1, 3000000 , 4500000 , 1500000 ,0
177,31,1,7,0,1, -   , 3000000 , 1500000 ,0
177,40,1,7,0,1, 10000000 , 13900000 , 6950000 ,0
177,44,1,7,0,1, -   , 3478698 , 1739349 ,0
177,45,1,7,0,1, 4020000 , 5421675 , 1807225 ,0
191,8,1,8,0,1, 12849304 , 15934545 , 3186909 ,0
191,25,1,8,0,1, 2471020 , 3953632 , 988408 ,0
191,28,1,8,0,1, 7413060 , 9790236 , 1631706 ,0
191,31,1,8,0,1, 6918856 , 8401468 , 4200734 ,0
191,32,1,8,0,1, 2876267 , 2876267 , 2876267 ,0
191,33,1,8,0,1, 1976816 , 1976816 , 1976816 ,0
191,35,1,8,0,1, 296522 , 1779134 , 1779134 ,0
191,36,1,8,0,1, 2471020 , 2531028 , 632757 ,1
191,45,1,8,0,1, 7877612 , 12381818 , 4127273 ,0
206,9,1,5,0,1, 4203286 , 10082883 , 5041442 ,0
206,32,1,5,0,1, 4603599 , 6972413 , 1394483 ,0
206,38,1,5,0,1, 4720546 , 5557379 , 1389345 ,0
206,44,1,5,0,1, -   , 700548 , 700548 ,1
206,46,1,5,0,1, 4753717 , 5714429 , 1428607 ,0
206,47,1,5,0,1, 4004315 , 4624722 , 420429 ,1
206,52,1,5,0,1, 8785550 , 9980922 , 3326974 ,0
221,3,1,7,0,1, 7490892 , 8792347 , 1465391 ,0
221,13,1,7,0,1, 4454000 , 6254000 , 1250800 ,0
221,15,1,7,0,1, 7800000 , 9600000 , 2400000 ,0
221,16,1,7,0,1, 8715000 , 13531000 , 4510333 ,0
221,29,1,7,0,1, 1900000 , 2900000 , 414286 ,1
221,32,1,7,0,1, 7600000 , 8800000 , 1466667 ,0
221,55,1,7,0,1, 8260000 , 9260000 , 1322857 ,0
221,56,1,7,0,1, 6600000 , 9600000 , 3200000 ,0
221,63,1,7,0,1, 5600000 , 6660008 , 2220003 ,0
236,4,1,5,0,1, 11051846 , 11051846 , 2762962 ,0
236,7,1,5,0,1, -   , 6731579 , 6731579 ,0
236,10,1,5,0,1, 5023566 , 7953980 , 2651327 ,0
236,13,1,5,0,1, 1559145 , 1559145 , 779573 ,1
236,16,1,5,0,1, 16075412 , 18587196 , 3097866 ,0
236,17,1,5,0,1, -   , -   , -   ,1
236,20,1,5,0,1, -   , 2511783 , 2511783 ,0
236,33,1,5,0,1, 18084839 , 72339356 , 14467871 ,0
236,43,1,5,0,1, 5747286 , 9766140 , 1395163 ,0
251,9,1,7,0,1, 11000000 , 15000000 , 3000000 ,0
251,18,1,7,0,1, 18500000 , 33475000 , 11158333 ,0
251,24,1,7,0,1, 3000000 , 18200000 , 3640000 ,0
251,26,1,7,0,1, 11500000 , 15750000 , 3937500 ,0
251,28,1,7,0,1, -   , 1671293 , 1671293 ,0
251,32,1,7,0,1, -   , 7000000 , 7000000 ,0
251,40,1,7,0,1, 2200000 , 8587500 , 2862500 ,0
266,1,1,5,0,1, 2393977 , 4905760 , 2452880 ,0
266,19,1,5,0,1, -   , 11445359 , 11445359 ,0
266,22,1,5,0,1, -   , 8883340 , 2961113 ,0
266,26,1,5,0,1, 5406362 , 5406362 , 1802121 ,0
266,35,1,5,0,1, 3114611 , 8601036 , 1720207 ,0
266,39,1,5,0,1, 2943810 , 2943810 , 588762 ,1
